attribute,value,fixed,tupleid
emergency service,Yes,t,172
condition,Heart Attack,f,172
measure code,AMI-3,f,172
measure name,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),f,172
score,50%,t,172
sample,2 patients,t,172
stateavg,AL_AMI-3,t,172
provider number,10010,t,173
hospital name,MARSHALL MEDICAL CENTER NORTH,t,173
address1,8000 ALABAMA HIGHWAY 69,t,173
address2,,t,173
address3,,t,173
city,GUNTERSVILLE,f,173
state,AL,f,173
zip code,35976,f,173
county name,MARSHALL,t,173
phone number,2565718000,f,173
hospital type,Acute Care Hospitals,t,173
hospital owner,Government - Hospital District or Authority,t,173
emergency service,Yes,t,173
condition,Heart Attack,f,173
measure code,AMI-4,f,173
measure name,Heart Attack Patients Given Smoking Cessation Advice/Counseling,t,173
score,100%,t,173
sample,2 patients,t,173
stateavg,AL_AMI-4,t,173
provider number,10010,t,174
hospital name,MARSHALL MEDICAL CENTER NORTH,t,174
address1,8000 ALABAMA HIGHWAY 69,t,174
address2,,t,174
address3,,t,174
city,GUNTERSVILLE,f,174
state,AL,f,174
zip code,35976,f,174
county name,MARSHALL,t,174
phone number,2565718000,f,174
hospital type,Acute Care Hospitals,t,174
hospital owner,Government - Hospital District or Authority,t,174
emergency service,Yes,t,174
condition,Heart Attack,f,174
measure code,AMI-5,f,174
measure name,Heart Attack Patients Given Beta Blocker at Discharge,f,174
score,83%,t,174
sample,6 patients,t,174
stateavg,AL_AMI-5,f,174
provider number,10010,t,175
hospital name,MARSHALL MEDICAL CENTER NORTH,t,175
address1,8000 ALABAMA HIGHWAY 69,t,175
address2,,t,175
address3,,t,175
city,GUNTERSVILLE,f,175
state,AL,f,175
zip code,35976,f,175
county name,MARSHALL,t,175
phone number,2565718000,f,175
hospital type,Acute Care Hospitals,t,175
hospital owner,Government - Hospital District or Authority,t,175
emergency service,Yes,t,175
condition,Heart Attack,f,175
measure code,AMI-7A,f,175
measure name,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,t,175
score,,t,175
sample,0 patients,t,175
stateavg,AL_AMI-7A,f,175
provider number,10010,t,176
hospital name,MARSHALL MEDICAL CENTER NORTH,t,176
address1,8000 ALABAMA xIGxWAY 69,t,176
address2,,t,176
address3,,t,176
city,GUNTERSVILLE,f,176
state,AL,f,176
zip code,35976,f,176
county name,MARSHALL,t,176
phone number,2565718000,f,176
hospital type,Acute Care Hospitals,t,176
hospital owner,Government - Hospital District or Authority,t,176
emergency service,Yes,t,176
condition,Heart Attack,f,176
measure code,AMI-8A,f,176
measure name,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,f,176
score,,t,176
sample,0 patients,t,176
stateavg,AL_AMI-8A,f,176
provider number,10010,t,177
hospital name,MARSHALL MEDICAL CENTER NORTH,t,177
address1,8000 ALABAMA HIGHWAY 69,t,177
address2,,t,177
address3,,t,177
city,GUNTERSVILLE,f,177
state,AL,f,177
zip code,35976,f,177
county name,MARSHALL,t,177
phone number,2565718000,f,177
hospital type,Acute Care Hospitals,t,177
hospital owner,Government - Hospital District or Authority,t,177
emergency service,Yes,t,177
condition,Heart Failure,f,177
measure code,HF-1,f,177
measure name,Heart Failure Patients Given Discharge Instructions,f,177
score,93%,t,177
sample,55 patients,t,177
stateavg,AL_HF-1,t,177
provider number,10010,t,178
hospital name,MARSHALL MEDICAL CENTER NORTH,t,178
address1,8000 ALABAMA HIGHWAY 69,t,178
address2,,t,178
address3,,t,178
city,GUNTERSVILLE,f,178
state,AL,f,178
zip code,35976,f,178
county name,MARSHALL,t,178
phone number,2565718000,f,178
hospital type,Acute Care Hospitals,t,178
hospital owner,Government - Hospital District or Authority,t,178
emergency service,Yes,t,178
condition,Heart Failure,t,178
measure code,HF-x,t,178
measure name,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,t,178
score,84%,t,178
sample,80 patients,t,178
stateavg,AL_HF-2,t,178
provider number,10010,t,179
hospital name,MARSHALL MEDICAL CENTER NORTH,t,179
address1,8000 ALABAMA HIGHWAY 69,t,179
address2,,t,179
address3,,t,179
city,GUNTERSVILLE,f,179
state,AL,f,179
zip code,35976,f,179
county name,MARSHALL,t,179
phone number,2565718000,f,179
hospital type,Acute Care Hospitals,t,179
hospital owner,Government - Hospital District or Authority,t,179
emergency service,Yes,t,179
condition,Heart Failure,f,179
measure code,HF-3,f,179
measure name,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),f,179
score,78%,t,179
sample,27 patients,t,179
stateavg,AL_HF-3,t,179
provider number,10010,t,180
hospital name,MARSHALL MEDICAL CENTER NORTH,t,180
address1,8000 ALABAMA HIGHWAY 69,t,180
address2,,t,180
address3,,t,180
city,GUNTERSVILLE,f,180
state,AL,f,180
zip code,35976,f,180
county name,MARSHALL,t,180
phone number,2565718000,f,180
hospital type,Acute Care Hospitals,t,180
hospital owner,Government - Hospital District or Authority,t,180
emergency service,Yes,t,180
condition,Heart Failure,f,180
measure code,HF-4,f,180
provider number,10011,t,201
measure name,Heart Failure Patients Given Smoking Cessation Advice/Counseling,f,180
score,100%,t,180
sample,10 patients,t,180
stateavg,AL_HF-4,f,180
provider number,10010,t,181
hospital name,MARSHALL MEDICAL CENTER NORTH,t,181
address1,8000 ALABAMA HIGHWAY 69,t,181
address2,,t,181
address3,,t,181
city,GUNTxRSVILLx,f,181
state,AL,f,181
zip code,35976,f,181
county name,MARSHALL,t,181
phone number,2565718000,f,181
hospital type,Acute Care Hospitals,t,181
hospital owner,Government - Hospital District or Authority,t,181
emergency service,Yes,t,181
condition,Pneumonia,t,181
measure code,PN-2,f,181
measure name,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,t,181
score,87%,t,181
sample,128 patients,t,181
stateavg,AL_PN-2,f,181
provider number,10010,t,182
hospital name,MARSHALL MEDICAL CENTER NORTH,t,182
address1,8000 ALABAMA HIGHWAY 69,t,182
address2,,t,182
address3,,t,182
city,GUNTERSVILLE,f,182
state,AL,f,182
zip code,35976,f,182
county name,MARSHALL,t,182
phone number,2565718000,f,182
hospital type,Acute Care Hospitals,t,182
hospital owner,Government - Hospital District or Authority,t,182
emergency service,Yes,t,182
condition,Pneumonia,f,182
measure code,PN-3B,f,182
measure name,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,f,182
score,94%,t,182
sample,115 patients,t,182
stateavg,AL_PN-3B,f,182
provider number,10010,t,183
hospital name,MARSHALL MEDICAL CENTER NORTH,t,183
address1,8000 ALABAMA HIGHWAY 69,t,183
address2,,t,183
address3,,t,183
city,GUNTERSVILLE,f,183
state,xL,f,183
zip code,35976,f,183
county name,MARSHALL,t,183
phone number,2565718000,f,183
hospital type,Acute Care Hospitals,t,183
hospital owner,Government - Hospital District or Authority,t,183
emergency service,Yes,t,183
condition,Pneumonia,f,183
measure code,PN-4,f,183
measure name,Pneumonia Patients Given Smoking Cessation Advice/Counseling,t,183
score,94%,t,183
sample,65 patients,t,183
stateavg,AL_PN-4,t,183
provider number,10010,t,184
hospital name,MARSHALL MEDICAL CENTER NORTH,t,184
address1,8000 ALABAMA HIGHWAY 69,t,184
address2,,t,184
address3,,t,184
city,GUNTERSVILLE,f,184
state,AL,f,184
zip code,35976,f,184
county name,MARSHALL,t,184
phone number,2565718000,f,184
hospital type,Acute Care Hospitals,t,184
hospital owner,Government - Hospital District or Authority,t,184
emergency service,Yes,t,184
condition,Pneumonia,f,184
measure code,PN-5C,f,184
measure name,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,f,184
score,97%,t,184
sample,158 patients,t,184
stateavg,AL_PN-5C,f,184
provider number,10010,t,185
hospital name,MARSHALL MEDICAL CENTER NORTH,t,185
address1,8000 ALABAMA HIGHWAY 69,t,185
address2,,t,185
address3,,t,185
city,GUNTERSVILLE,f,185
state,AL,f,185
zip code,35976,f,185
county name,MARSHALL,t,185
phone number,2565718000,f,185
hospital type,Acute Care Hospitals,t,185
hospital owner,Government - Hospital District or Authority,t,185
emergency service,Yes,t,185
condition,Pneumonia,f,185
measure code,PN-6,f,185
measure name,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),f,185
score,93%,t,185
sample,133 patients,t,185
stateavg,AL_PN-6,f,185
provider number,10010,t,186
hospital name,MARSHALL MEDICAL CENTER NORTH,t,186
address1,8000 ALABAMA HIGHWAY 69,t,186
address2,,t,186
address3,,t,186
city,GUNTERSVILLE,f,186
state,AL,f,186
zip code,35976,f,186
county name,MARSHALL,t,186
phone number,2565718000,f,186
hospital type,Acute Care Hospitals,t,186
hospital owner,Government - Hospital District or Authority,t,186
emergency service,Yes,t,186
condition,Pneumonia,t,186
measure code,PN-7,f,186
measure name,Pneumonia Patients Assessed and Given Influenza Vaccination,f,186
score,90%,t,186
sample,101 patients,t,186
stateavg,AL_PN-7,f,186
provider number,10010,t,187
hospital name,MARSHALL MEDICAL CENTER NORTH,t,187
address1,8000 ALABAMA HIGHWAY 69,t,187
address2,,t,187
address3,,t,187
city,GUNTERSVILLE,f,187
state,AL,f,187
zip code,35976,f,187
county name,MARSHALL,t,187
phone number,2565718000,f,187
hospital type,Acute Care Hospitals,t,187
hospital owner,Government - Hospital District or Authority,t,187
emergency service,Yes,t,187
condition,Surgical Infection Prevention,f,187
measure code,SCIP-CARD-2,f,187
measure name,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,f,187
score,86%,t,187
sample,14 patients,t,187
stateavg,AL_SCIP-CARD-2,t,187
provider number,10010,t,188
hospital name,MARSHALL MEDICAL CENTER NORTH,t,188
address1,8000 ALABAMA HIGHWAY 69,t,188
address2,,t,188
address3,,t,188
city,GUNTERSVILLE,f,188
state,AL,f,188
zip code,35976,f,188
county name,MARSHALL,t,188
phone number,2565718000,f,188
hospital type,Acute Care Hospitals,t,188
hospital owner,Government - Hospital District or Authority,t,188
emergency service,Yes,t,188
condition,Surgical Infection Prevention,t,188
measure code,SCIP-INF-1,t,188
measure name,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,t,188
score,95x,t,188
sample,66 patients,t,188
stateavg,AL_SCIP-INF-1,t,188
provider number,10010,t,189
hospital name,MARSHALL MEDICAL CENTER NORTH,t,189
address1,8000 ALABAMA HIGHWAY 69,t,189
address2,,t,189
address3,,t,189
city,GUNTERSVILLE,f,189
state,AL,f,189
zip code,35976,f,189
county name,MARSHALL,t,189
phone number,2565718000,f,189
hospital type,Acute Care Hospitals,t,189
hospital owner,Government - Hospital District or Authority,t,189
emergency service,Yes,t,189
condition,Surgical Infection Prevention,f,189
measure code,SCIP-INF-2,f,189
measure name,surgery patients who were given the  right kind  of antibiotic to help prevent infection,t,189
score,91%,t,189
sample,64 patients,t,189
stateavg,AL_SCIP-INF-2,f,189
provider number,10010,t,190
hospital name,MARSHALL MEDICAL CENTER NORTH,t,190
address1,8000 ALABAMA HIGHWAY 69,t,190
address2,,t,190
address3,,t,190
city,GUNTERSVILLE,f,190
state,AL,f,190
zip code,35976,f,190
county name,MARSHALL,t,190
phone number,2565718000,f,190
hospital type,Acute Care Hospitals,t,190
hospital owner,Government - Hospital District or Authority,t,190
emergency service,Yes,t,190
condition,Surgical Infection Prevention,f,190
measure code,SCIP-INF-3,f,190
measure name,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),t,190
score,100%,t,190
sample,63 patients,t,190
stateavg,AL_SCIP-INF-3,t,190
provider number,10010,t,191
hospital name,MARSHALL MEDICAL CENTER NORTH,t,191
address1,8000 ALABAMA HIGHWAY 69,t,191
address2,,t,191
address3,,t,191
city,GUNTERSVILLE,f,191
state,AL,f,191
zip code,35976,f,191
county name,MARSHALL,t,191
phone number,2565718000,f,191
hospital type,Acute Care Hospitals,t,191
hospital owner,Government - Hospital District or Authority,t,191
emergency service,Yes,t,191
condition,Surgical Infection Prevention,t,191
measure code,SCIP-INx-4,t,191
measure name,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,t,191
score,,t,191
sample,0 patients,t,191
stateavg,AL_SCIP-INF-4,t,191
provider number,10010,t,192
hospital name,MARSHALL MEDICAL CENTER NORTH,t,192
address1,8000 ALABAMA HIGHWAY 69,t,192
address2,,t,192
address3,,t,192
city,GUNTERSVILLE,f,192
state,AL,f,192
zip code,35976,f,192
county name,MARSHALL,t,192
phone number,2565718000,f,192
hospital type,Acute Care Hospitals,t,192
hospital owner,Government - Hospital District or Authority,t,192
emergency service,Yes,t,192
condition,Surgical Infection Prevention,t,192
measure code,SCIP-INF-6,f,192
measure name,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),f,192
score,100%,t,192
sample,155 patients,t,192
stateavg,AL_SCIP-INF-6,t,192
provider number,10010,t,193
hospital name,MARSHALL MEDICAL CENTER NORTH,t,193
address1,8000 ALABAMA HIGHWAY 69,t,193
address2,,t,193
address3,,t,193
city,GUNTERSVILLE,f,193
state,AL,f,193
zip code,35976,f,193
county name,MARSHALL,t,193
phone number,2565718000,f,193
hospital type,Acute Care Hospitals,t,193
hospital owner,Government - Hospital District or Authority,t,193
emergency service,Yes,t,193
condition,Surgical Infection Prevention,t,193
measure code,SCIP-VTE-1,f,193
measure name,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,f,193
score,86%,t,193
sample,56 patients,t,193
stateavg,AL_SCIP-VTE-1,f,193
provider number,10010,t,194
hospital name,MARSHALL MEDICAL CENTER NORTH,t,194
address1,8000 ALABAMA HIGHWAY 69,t,194
address2,,t,194
address3,,t,194
city,GUNTERSVILLE,f,194
state,AL,f,194
zip code,35976,f,194
county name,MARSHALL,t,194
phone number,2565718000,f,194
hospital type,Acute Care Hospitals,t,194
hospital owner,Government - Hospital District or Authority,t,194
emergency service,Yes,t,194
condition,Surgical Infection Prevention,f,194
measure code,SCIP-VTE-2,f,194
measure name,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,t,194
score,84%,t,194
sample,56 patients,t,194
stateavg,AL_SCIx-VTE-2,f,194
provider number,10011,t,195
hospital name,ST VINCENT'S EAST,t,195
address1,50 MEDICAL PARK EAST DRIVE,t,195
address2,,t,195
address3,,t,195
city,BIRMINGHAM,f,195
state,AL,f,195
zip code,35235,f,195
county name,JEFFERSON,t,195
phone number,2058383122,f,195
hospital type,Acute Care Hospitals,t,195
hospital owner,Voluntary non-profit - Private,t,195
emergency service,Yes,t,195
condition,Heart Attack,f,195
measure code,AMI-1,f,195
measure name,Heart Attack Patients Given Aspirin at Arrival,f,195
score,99%,t,195
sample,240 patients,t,195
stateavg,AL_AMI-1,f,195
provider number,10011,t,196
hospital name,ST VINCENT'S EAST,t,196
address1,50 MEDICAL PARK EAST DRIVE,t,196
address2,,t,196
address3,,t,196
city,BIRMINGHAM,f,196
state,AL,f,196
zip code,35235,f,196
county name,JEFFERSON,t,196
phone number,2058383122,f,196
hospital type,Acute Care Hospitals,t,196
hospital owner,Voluntary non-profit - Private,t,196
emergency service,Yes,t,196
condition,Heart Attack,f,196
measure code,AMI-2,f,196
measure name,Heart Attack Patients Given Aspirin at Discharge,f,196
score,96%,t,196
sample,295 patients,t,196
stateavg,AL_AMI-2,f,196
provider number,10011,t,197
hospital name,ST VINCENT'S EAST,t,197
address1,50 MEDICAL PARK EAST DRIVE,t,197
address2,,t,197
address3,,t,197
city,BIRMINGHAM,f,197
state,AL,t,197
zip code,3x23x,f,197
county name,JEFFERSON,t,197
phone number,2058383122,f,197
hospital type,Acute Care Hospitals,t,197
hospital owner,Voluntary non-profit - Private,t,197
emergency service,Yes,t,197
condition,Heart Attack,f,197
measure code,AMI-3,f,197
measure name,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),f,197
score,91%,t,197
sample,70 patients,t,197
stateavg,AL_AMI-3,t,197
provider number,10011,t,198
hospital name,ST VINCENT'S EAST,t,198
address1,50 MEDICAL PARK EAST DRIVE,t,198
address2,,t,198
address3,,t,198
city,BIRMINGHAM,f,198
state,AL,t,198
zip code,35235,f,198
county name,JEFFERSON,t,198
phone number,2058383122,f,198
hospital type,Acute Care Hospitals,t,198
hospital owner,Voluntary non-profit - Private,t,198
emergency service,Yes,t,198
condition,Heart Attack,f,198
measure code,AMI-4,f,198
measure name,Heart Attack Patients Given Smoking Cessation Advice/Counseling,t,198
score,100%,t,198
sample,131 patients,t,198
stateavg,AL_AMI-4,t,198
provider number,10011,t,199
hospital name,ST VINCENT'S EAST,t,199
address1,50 MEDICAL PARK EAST DRIVE,t,199
address2,,t,199
address3,,t,199
city,BIRMINGHAM,f,199
state,AL,f,199
zip code,35235,f,199
county name,JEFFERSON,t,199
phone number,2058383122,f,199
hospital type,Acute Care Hospitals,t,199
hospital owner,Voluntary non-profit - Private,t,199
emergency service,Yes,t,199
condition,Heart Attack,f,199
measure code,AMI-5,f,199
measure name,Heart Attack Patients Given Beta Blocker at Discharge,f,199
score,99%,t,199
sample,288 patients,t,199
stateavg,AL_AMI-5,f,199
provider number,10011,t,200
hospital name,ST VINCENT'S EAST,t,200
address1,50 MEDICAL PARK EAST DRIVE,t,200
address2,,t,200
address3,,t,200
city,BIRMINGHAM,f,200
state,AL,f,200
zip code,35235,f,200
county name,JEFFERSON,t,200
phone number,2058383122,f,200
hospital type,Acute Care Hosxitals,t,200
hospital owner,Voluntary non-profit - Private,t,200
emergency service,Yes,t,200
condition,Heaxt Attack,f,200
measure code,AMI-7A,f,200
measure name,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,t,200
score,,t,200
sample,0 patients,t,200
stateavg,AL_AMI-7A,f,200
hospital name,ST VINCENT'S EAST,t,201
address1,50 MEDICAL PARK EAST DRIVE,t,201
address2,,t,201
address3,,t,201
city,BIRMINGHAM,f,201
state,AL,f,201
zip code,35235,f,201
county name,JEFFERSON,t,201
phone number,2058383122,f,201
hospital type,Acute Care Hospitals,t,201
hospital owner,Voluntary non-profit - Private,t,201
emergency service,Yes,t,201
condition,Heart Attack,f,201
measure code,AMI-8A,f,201
measure name,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,f,201
score,85%,t,201
sample,48 patients,t,201
stateavg,AL_AMI-8A,f,201
provider number,10011,t,202
hospital name,ST VINCENT'S EAST,t,202
address1,50 MEDICAL PARK EAST DRIVE,t,202
address2,,t,202
address3,,t,202
city,BIRMINGHAM,f,202
state,AL,t,202
zip code,35235,f,202
county name,JEFFERSON,t,202
phone number,2058383122,f,202
hospital type,Acute Care Hospitals,t,202
hospital owner,Voluntary non-profit - Private,t,202
emergency service,Yes,t,202
condition,Heart Failure,f,202
measure code,HF-1,f,202
measure name,Heart Failure Patients Given Discharge Instructions,f,202
score,94%,t,202
sample,316 patients,t,202
stateavg,AL_HF-1,t,202
provider number,10011,t,203
hospital name,ST VINCENT'S EAST,t,203
address1,50 MEDICAL PARK EAST DRIVE,t,203
address2,,t,203
address3,,t,203
city,BIRMINGHAM,f,203
state,AL,f,203
zip code,35235,f,203
county name,JEFFERSON,t,203
phone number,2058383122,f,203
hospital type,Acute Care Hospitals,t,203
hospital owner,Voluntary non-profit - Private,t,203
emergency service,Yes,t,203
condition,Heart Failure,f,203
measure code,HF-2,f,203
measure name,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,f,203
score,98%,t,203
sample,372 patients,t,203
stateavg,AL_HF-2,f,203
provider number,10011,t,204
hospital name,ST VINCENT'S EAST,t,204
address1,50 MEDICAL PARK EAST DRIVE,t,204
address2,,t,204
address3,,t,204
city,BIRMINGHAM,f,204
state,AL,t,204
zip code,35235,f,204
county name,JEFFERSON,t,204
phone number,2058383122,f,204
hospital type,Acute Care Hospitals,t,204
hospital owner,Voluntary non-profit - Private,t,204
emergency service,Yes,t,204
condition,Heart Failure,f,204
measure code,HF-3,f,204
measure name,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),f,204
score,98%,t,204
sample,130 patients,t,204
stateavg,AL_HF-3,t,204
provider number,10011,t,205
hospital name,ST VINCENT'S EAST,t,205
address1,50 MEDICAL PARK EAST DRIVE,t,205
address2,,t,205
address3,,t,205
city,BIRMINGHAM,f,205
state,AL,f,205
zip code,35235,f,205
county name,JEFFERSON,t,205
phone number,2058383122,f,205
hospital type,Acute Care Hospitals,t,205
hospital owner,Voluntary non-profit - Private,t,205
emergency service,Yes,t,205
condition,Heart Failure,f,205
measure code,HF-4,f,205
measure name,Heart Failure Patients Given Smoking Cessation Advice/Counseling,f,205
score,100%,t,205
sample,69 patients,t,205
stateavg,AL_HF-4,f,205
provider number,10011,t,206
hospital name,ST VINCENT'S EAST,t,206
address1,50 MEDICAL PARK EAST DRIVE,t,206
address2,,t,206
address3,,t,206
city,BIRMINGHAM,f,206
state,AL,f,206
zip code,35235,f,206
county name,JEFFERSON,t,206
phone number,2058383122,f,206
hospital type,Acute Care Hospitals,t,206
hospital owner,Voluntary non-profit - Private,t,206
emergency service,Yes,t,206
condition,Pneumonia,t,206
measure code,PN-2,f,206
measure name,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,t,206
score,87%,t,206
sample,125 patients,t,206
stateavg,AL_PN-2,f,206
provider number,10011,t,207
hospital name,ST VINCENT'S EAST,t,207
address1,50 MEDICAL PARK EAST DRIVE,t,207
address2,,t,207
address3,,t,207
city,BIRMINGHAM,f,207
state,AL,f,207
zip code,35235,f,207
county name,JEFFERSON,t,207
phone number,2058383122,f,207
hospital type,Acute Care Hospitals,t,207
hospital owner,Voluntary non-profit - Private,t,207
emergency service,Yes,t,207
condition,Pneumonia,f,207
measure code,PN-3B,f,207
measure name,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,f,207
score,96%,t,207
sample,131 patients,t,207
stateavg,AL_PN-3B,f,207
provider number,10011,t,208
hospital name,ST VINCENT'S EAST,t,208
address1,50 MEDICAL PARK EAST DRIVE,t,208
address2,,t,208
address3,,t,208
city,BIRMIxGHAM,f,208
state,AL,t,208
zip code,35235,f,208
county name,JEFFERSON,t,208
phone number,2058383122,f,208
hospital type,Acute Care Hospitals,t,208
hospital owner,Voluntary non-profit - Private,t,208
emergency service,Yes,t,208
condition,Pneumonia,f,208
measure code,PN-4,f,208
measure name,Pneumonia Patients Given Smoking Cessation Advice/Counseling,t,208
score,100%,t,208
sample,69 patients,t,208
stateavg,AL_PN-4,t,208
provider number,10011,t,209
hospital name,ST VINCENT'S EAST,t,209
address1,50 MEDICAL PARK EAST DRIVE,t,209
address2,,t,209
address3,,t,209
city,BIRMINGHAM,f,209
state,AL,f,209
zip code,35235,f,209
county name,JEFFERSON,t,209
phone number,2058383122,f,209
hospital type,Acute Care Hospitals,t,209
hospital owner,Voluntary non-profit - Private,t,209
emergency service,Yes,t,209
condition,Pneumonia,f,209
measure code,PN-5C,f,209
measure name,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,f,209
score,x5%,t,209
sample,135 patients,t,209
stateavg,AL_PN-5C,f,209
provider number,10011,t,210
hospital name,ST VINCENT'S EAST,t,210
address1,50 MEDICAL PARK EAST DRIVE,t,210
address2,,t,210
address3,,t,210
city,BIRMINGHAM,f,210
state,AL,f,210
zip code,35235,f,210
county name,JEFFERSON,t,210
phone number,2058383122,f,210
hospital type,Acute Care Hospitals,t,210
hospital owner,Voluntary non-profit - Private,t,210
emergency service,Yes,t,210
condition,Pneumonia,f,210
measure code,PN-6,f,210
measure name,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),f,210
score,91%,t,210
sample,112 patients,t,210
stateavg,AL_PN-6,f,210
provider number,10011,t,211
hospital name,ST VINCENT'S EAST,t,211
address1,50 MEDICAL PARK EAST DRIVE,t,211
address2,,t,211
address3,,t,211
city,BIRMINGHAM,f,211
state,AL,f,211
zip code,35235,f,211
county name,JEFFERSON,t,211
phone number,2058383122,f,211
hospital type,Acute Care Hospitals,t,211
hospital owner,Voluntary non-profit - Private,t,211
emergency service,Yes,t,211
condition,Pneumonia,t,211
measure code,PN-7,f,211
measure name,PneumoniaxPatientsxAssessedxandxGivenxInfluenzaxVaccination,f,211
score,85%,t,211
sample,89 patients,t,211
stateavg,AL_PN-7,f,211
provider number,10011,t,212
hospital name,ST VINCENT'S EAST,t,212
address1,50 MEDICAL PARK EAST DRIVE,t,212
address2,,t,212
address3,,t,212
city,BIRMINGHAM,f,212
state,AL,t,212
zip code,35235,f,212
county name,JEFFERSON,t,212
phone number,2058383122,f,212
hospital type,Acute Care Hospitals,t,212
hospital owner,Voluntary non-profit - Private,t,212
emergency service,Yes,t,212
condition,Surgical Infection Prevention,f,212
measure code,SCIP-CARD-2,f,212
measure name,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,f,212
score,83%,t,212
sample,125 patients,t,212
stateavg,AL_SCIP-CARD-2,t,212
provider number,10011,t,213
hospital name,ST VINCENT'S EAST,t,213
address1,50 MEDICAL PARK EAST DRIVE,t,213
address2,,t,213
address3,,t,213
city,BxRMxNGHAM,f,213
state,AL,t,213
zip code,35235,f,213
county name,JEFFERSON,t,213
phone number,2058383122,f,213
hospital type,Acute Care Hospitals,t,213
hospital owner,Voluntary non-profit - Private,t,213
emergency service,Yes,t,213
condition,Surgical Infection Prevention,t,213
measure code,SCIP-INF-1,t,213
measure name,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,t,213
score,97%,t,213
sample,461 patients,t,213
stateavg,AL_SCIP-INF-1,t,213
provider number,x00xx,t,214
hospital name,ST VINCENT'S EAST,t,214
address1,50 MEDICAL PARK EAST DRIVE,t,214
address2,,t,214
address3,,t,214
city,BIRMINGHAM,f,214
state,AL,f,214
zip code,35235,f,214
county name,JEFFERSON,t,214
phone number,2058383122,f,214
hospital type,Acutx Carx Hospitals,t,214
hospital owner,Voluntary non-profit - Private,t,214
emergency service,Yes,t,214
condition,Surgical Infection Prevention,f,214
measure code,SCIP-INF-2,f,214
zip code,35968,f,221
measure name,surgery patients who were given the  right kind  of antibiotic to help prevent infection,t,214
score,98%,t,214
sample,473 patients,t,214
stateavg,AL_SxIP-INF-2,f,214
provider number,10011,t,215
hospital name,ST VINCENT'S EAST,t,215
address1,50 MEDICAL PARK EAST DRIVE,t,215
address2,,t,215
address3,,t,215
city,BIRMINGHAM,f,215
state,AL,t,215
zip code,35235,f,215
county name,JEFFERSON,t,215
phone number,2058383122,f,215
hospital type,Acute Care Hospitals,t,215
hospital owner,Voluntary non-profit - Private,t,215
emergency service,Yes,t,215
condition,Surgical Infection Prevention,f,215
measure code,SCIP-INF-3,f,215
measure name,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),t,215
score,81%,t,215
sample,442 patients,t,215
stateavg,AL_SCIP-INF-3,t,215
provider number,10011,t,216
hospital name,ST VINCENT'S EAST,t,216
address1,50 MEDICAL PARK EAST DRIVE,t,216
address2,,t,216
address3,,t,216
city,BIRMINGHAM,f,216
state,AL,t,216
zip code,35235,f,216
county name,JEFFERSON,t,216
phone number,2058383122,f,216
hospital type,Acute Care Hospitals,t,216
hospital owner,Voluntary non-profit - Private,t,216
emergency service,Yes,t,216
condition,Surgical Infection Prevention,f,216
measure code,SCIP-INF-4,f,216
measure name,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,f,216
score,60%,t,216
sample,127 patients,t,216
stateavg,AL_SCIP-INF-4,t,216
provider number,10011,t,217
hospital name,ST VINCENT'S EAST,t,217
